acceptedTaxonKey,accepetedTaxonName,TropicosNameID,FullNameWithAuthors,taxonRank,id_name_APD,taxonid_IUCN,redlistCategory,redlistCriteria,yearPublished,EOO,AOO,elevation_upper,elevation_lower,assessmentDate,assessor,reviewer,populationTrend
1840,Cynometra nyangensis,13051275,Cynometra nyangensis Pellegr.,Species,70047,173500849,EN,B1ab(iii)+2ab(iii),2021,2354.8,16,300,100,18/10/2020,"Simo-Droissart, M., Texier, N. & StÈvart, T.","Andriamahefarivo, L., Bidault, E., Ikabanga, D.U., Lachenaud, O. & Paradis, A.-H.",Unknown
1842,Cynometra oddonii,13051247,Cynometra oddonii De Wild.,Species,70048,204816586,LC,,2022,594832,56,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1843,Cynometra sanagaensis,13062564,Cynometra sanagaensis Aubrév.,Species,70051,204802792,LC,,2022,429747,108,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1945,Cynometra schlechteri,13051235,Cynometra schlechteri Harms,Species,70052,204816648,LC,,2022,723753,92,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1958,Cyrtogonone argentea,12804131,Cyrtogonone argentea (Pax) Prain,Species,108041,204815309,LC,,2022,1136290,396,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1959,Dacryodes buettneri,100320335,Dacryodes buettneri (Engl.) H.J. Lam,Species,7762,61987674,VU,A2cd,2020,337534,NA,700,0,08/11/2019,"Hills, R.","Onana, J.-M.",Decreasing
1960,Dacryodes camerunensis,100320336,Dacryodes camerunensis Onana,Species,183957,,,,,,,,,,,,
1961,Dacryodes ebatom,4700339,Dacryodes ebatom Aubrév. & Pellegr.,Species,7773,,,,,,,,,,,,
1962,Dacryodes edulis,4700340,Dacryodes edulis (G. Don) H.J. Lam,Species,7763,,,,,,,,,,,,
1963,Dacryodes heterotricha,4700341,Dacryodes heterotricha (Pellegr.) H.J. Lam,Species,7764,204816714,LC,,2022,374146,244,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1964,Dacryodes igaganga,4700342,Dacryodes igaganga Aubrév. & Pellegr.,Species,7765,32182,VU,A1cd+2cd,1998,NA,NA,NA,NA,01/01/1998,World Conservation Monitoring Centre,0,NA
1966,Dacryodes klaineana,4700343,Dacryodes klaineana (Pierre) H.J. Lam,Species,7766,136112754,LC,NA,2018,2014650.58,600.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Vroh, B.",Stable
1968,Dacryodes ledermannii,100320352,Dacryodes ledermannii H.J. Lam,Species,7776,,,,,,,,,,,,
1969,Dacryodes letestui,4700344,Dacryodes letestui (Pellegr.) H.J. Lam,Species,7767,204815276,LC,,2022,1128159,604,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Unknown
1970,Dacryodes macrophylla,4700345,Dacryodes macrophylla (Oliv.) H.J. Lam,Species,7768,204809541,LC,,2022,1128159,604,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1971,Dacryodes normandii,4700346,Dacryodes normandii Aubrév. & Pellegr.,Species,7769,204809473,LC,,2022,196065,472,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
